Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Denmark,DNK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.04155980088103,7.07089896619989,7.74744546702985,7.70149659175602,7.33039932748028,7.51217803184753,7.26118110006918,8.10272954731514,8.51784339219747,9.06635346755708,10.7372008187749,11.1235999633005,11.8658791497644,12.7203073762941,14.4490697722936,16.1263978314621,15.2671237358586,17.7009281704155,18.5492546879512,19.3427639308072,21.3548364626267,23.8989672739058,27.2819568791468,27.3428385982791,30.2716312824144,33.1702771730605,..,..,..
United States,USA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.17546218583434,4.50791959377071,4.76308310810846,4.28152840674077,4.08864139839829,4.72655433519206,4.76393045060593,4.51426029882715,4.5342968895809,5.70972659311957,5.42962368850183,4.67857120998539,4.84077918448262,5.32628227356981,5.47765651831783,5.84109087259038,6.39651397057971,6.30412819821935,6.84554083511255,7.35440475450257,7.5051720554451,8.16445164623265,8.48145040759456,8.71326157278159,8.75430895443964,8.71693586705814,..,..,..
United Kingdom,GBR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.651133978423517,0.608264131136578,0.840737795568959,0.775204971316571,1.02142848392085,1.06022909884603,0.943586897127666,1.02847968902927,1.02970432391514,0.948917657048062,0.961901516319544,0.852867466028621,0.970071248009773,0.934980336780085,1.13725832965866,1.35227973814449,1.55391999101972,1.83965077165068,2.78279191396424,3.38303166308866,3.63891826187997,4.40111862136268,4.75125761850907,6.01578094932047,7.3952204555385,8.71168557437913,..,..,..
Germany,DEU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.09803377496266,1.98863280907619,2.06262189491575,2.11093108509833,2.26620206067894,2.31974899616167,2.25217383396493,2.82442182235482,3.04511890616193,3.26371214587689,3.70043759040219,3.89967279049467,4.41263678738536,5.05846742452957,5.82524443326874,6.76455100872253,7.75322465619858,9.40658790331653,8.59224825671174,9.63006156970857,10.2935196369107,11.3943559060623,12.0151357257952,12.0890787546162,13.3788782316752,14.2062526977772,..,..,..
Norway,NOR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.1737464148242,60.7848803364396,61.3789638607889,61.0973283838752,60.3989461857682,60.0471253321381,57.8505549684879,58.8388786890175,59.5169163446883,59.4149466039327,60.1881312107316,59.606409274822,59.4931128470761,56.2568689167696,56.8716065932782,58.591809531289,57.0596904305054,57.3900655250325,58.4937325340999,56.7709250908695,56.4245557827767,56.5293289729021,58.2758503900785,57.7259495348125,57.1964019487249,57.7720015985381,..,..,..
Sweden,SWE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.0619919654159,32.458791527104,33.2321607753727,34.3851522613377,31.3544241199108,33.9141814843503,31.3560973387591,35.6206109976516,35.6579034240524,34.7922504929848,40.0082586688854,37.6615758371226,36.1487613324956,34.910426455174,35.8233124779583,39.9918953271391,41.1265877683782,42.9246551712398,44.8655881318183,47.0773641961662,45.9778059302002,46.4870296536003,49.9485495007274,48.8252222639117,49.69341469037,53.2477697984376,..,..,..
South Africa,ZAF,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.6278217077773,17.4661188204403,18.3632170243738,18.585950063784,18.5628815589559,18.1130796760271,17.4377706017221,17.1071913418366,17.272490038871,18.2213200307393,18.5080804630776,19.1214417005142,18.3241040408302,17.5065631974473,16.7607974940869,16.2453416966089,16.3703967434757,15.8116290856396,15.9865897111294,15.5702925251554,17.0798023283017,16.9785947586075,16.6328854467481,16.0973939680517,16.5881622011429,17.1501412476598,..,..,..
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.0095771593438,8.24547226023123,7.51647097195474,8.61699388238724,8.25994677877061,8.21780571247124,8.86597056035989,9.08024283629251,8.59507269440585,8.50727378721517,8.42334065854783,8.37028137206551,8.73872071261756,7.15106567010273,6.68042572078818,6.71197454696042,6.85326682346818,6.95158629028628,6.78956927368411,7.11282715112279,8.10902729265093,8.25618114983427,8.247109347095,9.08848190986827,9.27819845713441,9.18050295980786,..,..,..
India,IND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.652858348278,57.6047933357271,57.2305674845727,56.9833633428903,55.5571874605853,54.4841170038941,53.767409699754,52.4880731033173,52.7122557076625,51.7172937036599,51.5793476223734,51.7872192257844,50.5694426557262,50.8427990577573,49.7240246052468,48.5753087512264,47.4437217093748,45.8678035195348,43.6328830116274,40.7708275885812,39.4815087312075,38.9317402139462,38.3908901522843,37.8498411784972,36.651837856374,36.0212225652817,..,..,..
China,CHN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.083614045282,33.2584735412724,32.9312779040239,31.6777918019623,31.2494841669185,29.4721113943924,30.5371754582264,30.1834816771978,29.7399014806871,30.506048980242,29.7307148369434,28.4558153762583,27.0982015214674,23.9465795861498,20.2494792551361,18.2038186462091,17.0946100836398,15.3493711431443,14.6019965741267,13.9119622748916,12.8843103068778,11.6957969853632,11.9685670286267,11.8381669000852,12.2238230065824,12.4133525698911,..,..,..
