AAR,BYDEL,ALDER,STATKODE,PERSONER
2015,1,3,5390,2
2015,1,3,5472,1
2015,1,3,5478,1
2015,1,3,5502,1
2015,1,3,5700,2
2015,1,3,5704,1
2015,1,4,5100,452
2015,1,4,5106,1
2015,1,4,5120,1
2015,1,4,5126,1
2015,1,4,5128,1
2015,1,4,5130,4
2015,1,4,5140,1
2015,1,4,5142,1
2015,1,4,5150,2
2015,1,4,5170,4
2015,1,4,5180,2
2015,1,4,5234,1
2015,1,4,5289,1
2015,1,4,5314,1
2015,1,4,5390,3
2015,1,4,5432,3
2015,1,4,5438,1
2015,1,4,5448,2
2015,1,4,5472,1
2015,1,4,5502,1
2015,1,4,5700,1
2015,1,4,5704,1
2015,1,5,5100,434
2015,1,5,5106,1
2015,1,5,5115,1
2015,1,5,5120,4
2015,1,5,5126,1
2015,1,5,5142,1
2015,1,5,5150,3
2015,1,5,5154,1
2015,1,5,5160,1
2015,1,5,5164,1
2015,1,5,5170,3
2015,1,5,5180,2
2015,1,5,5390,3
2015,1,5,5432,1
2015,1,5,5434,1
2015,1,5,5448,1
2015,1,5,5462,1
2015,1,5,5464,1
2015,1,5,5474,1
2015,1,5,5478,1
2015,1,5,5607,1
2015,1,5,5700,1
2015,1,5,5778,1
2015,1,6,5100,411
2015,1,6,5106,6
2015,1,6,5110,2
2015,1,6,5120,3
2015,1,6,5130,2
2015,1,6,5140,1
2015,1,6,5170,1
2015,1,6,5180,3
2015,1,6,5228,1
2015,1,6,5272,2
2015,1,6,5314,1
2015,1,6,5390,7
2015,1,6,5432,1
2015,1,6,5472,1
2015,1,6,5514,1
2015,1,6,5704,1
2015,1,6,5716,1
2015,1,7,5100,375
2015,1,7,5106,3
2015,1,7,5115,1
2015,1,7,5120,4
2015,1,7,5170,1
2015,1,7,5180,2
2015,1,7,5314,1
2015,1,7,5390,2
2015,1,7,5432,1
2015,1,7,5436,1
2015,1,7,5462,1
2015,1,7,5492,1
2015,1,7,5514,1
2015,1,7,5704,1
2015,1,7,5752,1
2015,1,8,5100,386
2015,1,8,5106,1
2015,1,8,5110,1
2015,1,8,5120,2
2015,1,8,5142,1
2015,1,8,5150,1
2015,1,8,5160,1
2015,1,8,5164,4
2015,1,8,5170,3
2015,1,8,5180,3
2015,1,8,5272,1
2015,1,8,5306,1
2015,1,8,5314,1
2015,1,8,5390,7
2015,1,8,5434,1
2015,1,8,5478,1
2015,1,8,5492,1
2015,1,8,5704,1
2015,1,9,5100,336
2015,1,9,5106,1
2015,1,9,5115,1
2015,1,9,5120,2
2015,1,9,5150,1
2015,1,9,5180,1
2015,1,9,5314,1
2015,1,9,5390,4
2015,1,9,5436,1
2015,1,9,5462,1
2015,1,9,5514,1
2015,1,9,5611,1
2015,1,10,5100,404
2015,1,10,5104,1
2015,1,10,5106,2
2015,1,10,5110,1
2015,1,10,5140,1
2015,1,10,5164,1
2015,1,10,5170,4
2015,1,10,5180,3
2015,1,10,5272,1
2015,1,10,5390,2
2015,1,10,5432,1
2015,1,10,5434,1
2015,1,10,5458,1
2015,1,11,5100,353
2015,1,11,5104,1
2015,1,11,5110,4
2015,1,11,5130,1
2015,1,11,5140,1
2015,1,11,5154,1
2015,1,11,5170,2
2015,1,11,5234,1
2015,1,11,5314,1
2015,1,11,5390,2
2015,1,11,5436,1
2015,1,11,5458,1
2015,1,11,5474,1
2015,1,11,5502,2
2015,1,11,5752,1
2015,1,12,5100,342
2015,1,12,5120,1
2015,1,12,5134,1
2015,1,12,5140,1
2015,1,12,5150,1
2015,1,12,5164,2
2015,1,12,5170,3
2015,1,12,5180,3
2015,1,12,5314,1
2015,1,12,5374,1
2015,1,12,5390,3
2015,1,12,5434,1
2015,1,12,5438,1
2015,1,12,5492,2
2015,1,12,5700,1
2015,1,13,5100,364
2015,1,13,5110,1
2015,1,13,5120,1
2015,1,13,5170,1
2015,1,13,5314,1
2015,1,13,5354,1
2015,1,13,5390,5
2015,1,13,5438,1
2015,1,13,5448,1
2015,1,13,5474,1
2015,1,13,5492,1
2015,1,13,5704,1
2015,1,13,5778,1
2015,1,14,5100,318
2015,1,14,5103,1
2015,1,14,5128,1
2015,1,14,5130,1
2015,1,14,5134,1
2015,1,14,5158,1
2015,1,14,5164,2
2015,1,14,5170,2
2015,1,14,5180,2
2015,1,14,5390,2
2015,1,14,5436,1
2015,1,14,5448,1
2015,1,14,5456,1
2015,1,14,5502,2
2015,1,15,5100,367
2015,1,15,5103,1
2015,1,15,5104,1
2015,1,15,5106,1
2015,1,15,5120,2
2015,1,15,5150,1
2015,1,15,5170,1
2015,1,15,5180,1
2015,1,15,5314,1
2015,1,15,5390,2
2015,1,15,5436,1
2015,1,15,5486,1
2015,1,15,5492,1
2015,1,15,5611,1
2015,1,16,5100,355
2015,1,16,5104,1
2015,1,16,5106,1
2015,1,16,5120,1
2015,1,16,5128,1
2015,1,16,5130,1
2015,1,16,5134,1
2015,1,16,5160,1
2015,1,16,5170,3
2015,1,16,5306,1
2015,1,16,5390,2
2015,1,16,5492,1
2015,1,16,5609,1
2015,1,17,5100,360
2015,1,17,5104,1
2015,1,17,5106,1
2015,1,17,5110,1
2015,1,17,5120,1
2015,1,17,5128,1
2015,1,17,5130,2
2015,1,17,5170,3
2015,1,17,5180,2
2015,1,17,5228,1
2015,1,17,5314,1
2015,1,17,5390,3
2015,1,17,5432,1
2015,1,17,5472,1
2015,1,17,5492,1
2015,1,17,5502,1
2015,1,18,5100,378
2015,1,18,5104,1
2015,1,18,5106,1
2015,1,18,5110,2
2015,1,18,5120,1
2015,1,18,5130,4
2015,1,18,5150,1
2015,1,18,5170,2
2015,1,18,5174,1
2015,1,18,5180,2
2015,1,18,5269,1
2015,1,18,5306,1
2015,1,18,5314,1
2015,1,18,5364,1
2015,1,18,5390,1
2015,1,18,5432,2
2015,1,18,5436,1
2015,1,18,5759,1
2015,1,19,5100,486
2015,1,19,5104,2
2015,1,19,5110,7
2015,1,19,5120,6
2015,1,19,5130,1
2015,1,19,5134,1
2015,1,19,5150,1
2015,1,19,5164,2
2015,1,19,5170,3
2015,1,19,5180,2
2015,1,19,5302,1
2015,1,19,5306,1
2015,1,19,5314,1
2015,1,19,5390,2
2015,1,19,5436,1
2015,1,19,5448,1
2015,1,19,5464,1
2015,1,19,5474,1
2015,1,19,5502,1
2015,1,19,5611,1
2015,1,19,5756,1
2015,1,20,5100,678
2015,1,20,5104,3
2015,1,20,5106,1
2015,1,20,5110,21
2015,1,20,5120,5
2015,1,20,5128,1
2015,1,20,5130,6
2015,1,20,5140,2
2015,1,20,5150,2
2015,1,20,5154,6
2015,1,20,5158,2
2015,1,20,5164,1
2015,1,20,5170,6
2015,1,20,5174,3
2015,1,20,5180,4
2015,1,20,5182,1
2015,1,20,5244,1
2015,1,20,5302,1
2015,1,20,5314,3
2015,1,20,5390,8
2015,1,20,5432,1
2015,1,20,5442,1
2015,1,20,5448,1
2015,1,20,5482,1
2015,1,20,5486,1
2015,1,20,5502,1
2015,1,20,5704,1
2015,1,20,5776,1
2015,1,20,5778,1
2015,1,21,5100,859
2015,1,21,5104,4
2015,1,21,5110,36
2015,1,21,5120,15
2015,1,21,5128,2
2015,1,21,5129,1
2015,1,21,5130,3
2015,1,21,5142,1
2015,1,21,5150,7
2015,1,21,5154,5
2015,1,21,5156,1
2015,1,21,5160,1
2015,1,21,5164,3
2015,1,21,5170,9
2015,1,21,5174,1
2015,1,21,5180,4
2015,1,21,5182,1
2015,1,21,5244,1
2015,1,21,5289,1
2015,1,21,5302,2
2015,1,21,5314,2
2015,1,21,5354,1
2015,1,21,5390,14
2015,1,21,5436,1
2015,1,21,5444,2
2015,1,21,5448,1
2015,1,21,5474,1
2015,1,21,5482,1
2015,1,21,5488,1
2015,1,21,5492,1
2015,1,21,5502,3
2015,1,21,5611,1
2015,1,21,5700,1
2015,1,21,5750,1
2015,1,21,5776,1
2015,1,21,5778,3
2015,1,22,5100,934
2015,1,22,5104,5
2015,1,22,5110,42
2015,1,22,5120,12
2015,1,22,5126,2
2015,1,22,5128,3
2015,1,22,5130,6
2015,1,22,5140,1
2015,1,22,5150,16
2015,1,22,5154,2
2015,1,22,5156,1
2015,1,22,5158,2
2015,1,22,5160,2
2015,1,22,5164,3
2015,1,22,5170,4
2015,1,22,5174,2
2015,1,22,5180,8
2015,1,22,5306,2
2015,1,22,5314,1
2015,1,22,5316,2
2015,1,22,5354,2
2015,1,22,5390,18
2015,1,22,5436,1
2015,1,22,5444,1
2015,1,22,5448,2
2015,1,22,5458,1
2015,1,22,5464,1
2015,1,22,5474,7
2015,1,22,5502,3
2015,1,22,5514,1
2015,1,22,5607,1
2015,1,22,5611,1
2015,1,22,5700,1
2015,1,22,5704,1
2015,1,22,5754,1
2015,1,22,5757,1
2015,1,22,5776,1
2015,1,22,5778,2
2015,1,23,5100,980
2015,1,23,5103,1
2015,1,23,5104,5
2015,1,23,5106,3
2015,1,23,5110,57
2015,1,23,5120,15
2015,1,23,5126,2
2015,1,23,5128,1
2015,1,23,5130,14
2015,1,23,5134,1
2015,1,23,5140,1
2015,1,23,5142,4
2015,1,23,5150,17
2015,1,23,5154,4
2015,1,23,5156,3
2015,1,23,5158,4
2015,1,23,5160,2
2015,1,23,5164,8
2015,1,23,5170,20
2015,1,23,5174,4
2015,1,23,5180,16
2015,1,23,5182,3
2015,1,23,5302,1
2015,1,23,5318,1
2015,1,23,5354,1
2015,1,23,5390,16
2015,1,23,5448,4
2015,1,23,5464,2
2015,1,23,5474,10
2015,1,23,5482,1
2015,1,23,5484,2
2015,1,23,5502,4
2015,1,23,5607,2
2015,1,23,5609,3
2015,1,23,5611,4
2015,1,23,5704,2
2015,1,23,5716,1
2015,1,23,5757,1
2015,1,23,5776,1
2015,1,23,5778,1
2015,1,24,5100,1078
2015,1,24,5104,3
2015,1,24,5106,6
2015,1,24,5110,59
2015,1,24,5120,31
2015,1,24,5126,1
2015,1,24,5128,2
2015,1,24,5130,12
2015,1,24,5134,1
2015,1,24,5140,5
2015,1,24,5142,3
2015,1,24,5150,25
2015,1,24,5154,4
2015,1,24,5156,1
2015,1,24,5158,2
2015,1,24,5160,1
2015,1,24,5164,9
2015,1,24,5170,13
2015,1,24,5172,2
2015,1,24,5174,4
2015,1,24,5180,24
2015,1,24,5259,1
2015,1,24,5269,1
2015,1,24,5302,2
2015,1,24,5314,5
2015,1,24,5354,1
2015,1,24,5390,13
2015,1,24,5432,2
2015,1,24,5436,1
2015,1,24,5448,4
2015,1,24,5456,2
2015,1,24,5474,5
2015,1,24,5482,1
2015,1,24,5484,1
2015,1,24,5502,2
2015,1,24,5607,3
2015,1,24,5609,1
2015,1,24,5611,4
2015,1,24,5700,2
2015,1,24,5704,3
2015,1,24,5706,1
2015,1,24,5716,1
2015,1,24,5724,1
2015,1,24,5752,1
2015,1,24,5776,1
2015,1,24,5778,4
2015,1,25,5100,1107
2015,1,25,5103,1
2015,1,25,5104,6
2015,1,25,5106,3
2015,1,25,5110,57
2015,1,25,5120,39
2015,1,25,5128,3
2015,1,25,5130,15
2015,1,25,5134,1
2015,1,25,5140,5
2015,1,25,5142,1
2015,1,25,5150,20
2015,1,25,5153,1
2015,1,25,5154,12
2015,1,25,5158,3
2015,1,25,5164,9
2015,1,25,5170,13
2015,1,25,5174,4
2015,1,25,5180,29
2015,1,25,5182,2
2015,1,25,5246,1
2015,1,25,5306,3
2015,1,25,5314,5
2015,1,25,5316,1
2015,1,25,5354,1
2015,1,25,5390,12
2015,1,25,5392,1
2015,1,25,5410,1
2015,1,25,5424,1
2015,1,25,5432,5
2015,1,25,5434,1
2015,1,25,5444,1
2015,1,25,5448,9
2015,1,25,5474,8
2015,1,25,5482,2
2015,1,25,5502,4
2015,1,25,5514,1
2015,1,25,5607,2
2015,1,25,5609,1
2015,1,25,5611,7
2015,1,25,5700,3
2015,1,25,5704,2
2015,1,25,5708,1
2015,1,25,5712,1
2015,1,25,5716,1
2015,1,25,5750,1
2015,1,25,5757,1
2015,1,25,5778,3
2015,1,26,5100,1093
2015,1,26,5104,7
2015,1,26,5106,7
2015,1,26,5110,38
2015,1,26,5120,31
2015,1,26,5130,18
2015,1,26,5134,4
2015,1,26,5140,2
2015,1,26,5142,3
2015,1,26,5150,11
2015,1,26,5152,1
2015,1,26,5154,13
2015,1,26,5156,4
2015,1,26,5158,6
2015,1,26,5160,2
2015,1,26,5164,14
2015,1,26,5170,13
2015,1,26,5172,3
2015,1,26,5174,3
2015,1,26,5180,27
2015,1,26,5182,3
2015,1,26,5268,1
2015,1,26,5269,1
2015,1,26,5302,1
2015,1,26,5306,4
2015,1,26,5314,4
2015,1,26,5318,1
2015,1,26,5326,1
2015,1,26,5328,1
2015,1,26,5338,1
2015,1,26,5358,1
2015,1,26,5390,8
2015,1,26,5392,1
2015,1,26,5432,4
2015,1,26,5434,1
2015,1,26,5438,2
2015,1,26,5448,10
2015,1,26,5458,1
2015,1,26,5474,12
2015,1,26,5482,1
2015,1,26,5492,1
2015,1,26,5502,3
2015,1,26,5514,4
2015,1,26,5607,6
2015,1,26,5611,6
2015,1,26,5700,2
2015,1,26,5754,1
2015,1,26,5757,1
2015,1,26,5776,4
2015,1,26,5778,1
2015,1,27,5100,1016
2015,1,27,5103,1
2015,1,27,5104,5
2015,1,27,5106,6
2015,1,27,5110,22
2015,1,27,5120,33
2015,1,27,5126,2
2015,1,27,5128,1
2015,1,27,5130,15
2015,1,27,5134,4
2015,1,27,5140,3
2015,1,27,5142,2
2015,1,27,5150,11
2015,1,27,5154,7
2015,1,27,5156,1
2015,1,27,5158,8
2015,1,27,5160,1
2015,1,27,5164,11
2015,1,27,5170,12
2015,1,27,5172,2
2015,1,27,5174,2
2015,1,27,5180,19
2015,1,27,5182,4
2015,1,27,5202,1
2015,1,27,5244,2
2015,1,27,5262,1
2015,1,27,5272,1
2015,1,27,5306,3
2015,1,27,5314,3
2015,1,27,5318,1
2015,1,27,5354,2
2015,1,27,5358,1
2015,1,27,5390,9
2015,1,27,5432,3
2015,1,27,5436,1
2015,1,27,5438,1
2015,1,27,5444,2
2015,1,27,5446,1
2015,1,27,5448,7
2015,1,27,5474,12
2015,1,27,5484,1
2015,1,27,5492,2
2015,1,27,5502,4
2015,1,27,5514,1
2015,1,27,5607,3
2015,1,27,5611,1
2015,1,27,5700,3
2015,1,27,5716,1
2015,1,27,5750,2
2015,1,27,5757,1
2015,1,27,5776,1
2015,1,27,5778,1
2015,1,28,5100,983
2015,1,28,5104,4
2015,1,28,5106,5
2015,1,28,5110,25
2015,1,28,5120,32
2015,1,28,5126,2
2015,1,28,5128,2
2015,1,28,5130,8
2015,1,28,5134,5
2015,1,28,5140,5
2015,1,28,5142,1
2015,1,28,5150,18
2015,1,28,5154,9
2015,1,28,5156,6
2015,1,28,5158,8
2015,1,28,5160,2
2015,1,28,5164,7
2015,1,28,5170,13
2015,1,28,5172,2
2015,1,28,5174,1
2015,1,28,5180,28
2015,1,28,5182,1
2015,1,28,5244,1
2015,1,28,5246,1
2015,1,28,5269,1
2015,1,28,5272,1
2015,1,28,5288,1
2015,1,28,5289,1
2015,1,28,5302,2
2015,1,28,5306,1
2015,1,28,5316,1
2015,1,28,5338,1
2015,1,28,5358,1
2015,1,28,5390,13
2015,1,28,5424,1
2015,1,28,5432,11
2015,1,28,5434,1
2015,1,28,5438,2
2015,1,28,5444,2
2015,1,28,5448,14
2015,1,28,5456,1
2015,1,28,5472,2
2015,1,28,5474,9
2015,1,28,5488,1
2015,1,28,5492,2
2015,1,28,5502,4
2015,1,28,5514,1
2015,1,28,5609,2
2015,1,28,5611,4
2015,1,28,5700,2
2015,1,28,5704,2
2015,1,28,5716,2
2015,1,28,5720,1
2015,1,28,5754,1
2015,1,28,5756,1
2015,1,28,5757,1
2015,1,28,5776,2
2015,1,28,5778,1
2015,1,29,5100,881
2015,1,29,5104,9
2015,1,29,5106,5
2015,1,29,5110,21
2015,1,29,5120,25
2015,1,29,5122,1
2015,1,29,5126,1
2015,1,29,5128,3
2015,1,29,5130,11
2015,1,29,5134,4
2015,1,29,5140,9
2015,1,29,5142,2
2015,1,29,5150,21
2015,1,29,5151,1
2015,1,29,5154,5
2015,1,29,5156,8
2015,1,29,5158,3
2015,1,29,5164,11
2015,1,29,5170,16
2015,1,29,5172,1
2015,1,29,5174,3
2015,1,29,5180,22
2015,1,29,5182,2
2015,1,29,5302,2
2015,1,29,5306,2
2015,1,29,5314,6
2015,1,29,5318,1
2015,1,29,5354,2
2015,1,29,5390,16
2015,1,29,5392,1
2015,1,29,5422,1
2015,1,29,5432,5
2015,1,29,5436,1
2015,1,29,5438,2
2015,1,29,5442,2
2015,1,29,5444,1
2015,1,29,5448,12
2015,1,29,5464,1
2015,1,29,5472,1
2015,1,29,5474,5
2015,1,29,5482,1
2015,1,29,5492,2
2015,1,29,5502,1
2015,1,29,5611,1
2015,1,29,5700,2
2015,1,29,5704,3
2015,1,29,5708,1
2015,1,29,5716,3
2015,1,29,5750,1
2015,1,29,5752,1
2015,1,29,5776,2
2015,1,30,5100,793
2015,1,30,5104,3
2015,1,30,5106,6
2015,1,30,5110,17
2015,1,30,5120,25
2015,1,30,5130,10
2015,1,30,5134,2
2015,1,30,5140,9
2015,1,30,5150,16
2015,1,30,5151,1
2015,1,30,5154,7
2015,1,30,5156,3
2015,1,30,5158,7
2015,1,30,5160,1
2015,1,30,5164,7
2015,1,30,5170,14
2015,1,30,5172,5
2015,1,30,5174,1
2015,1,30,5180,17
2015,1,30,5228,1
2015,1,30,5244,1
2015,1,30,5262,5
2015,1,30,5272,1
2015,1,30,5282,1
2015,1,30,5302,1
2015,1,30,5306,5
2015,1,30,5314,3
2015,1,30,5338,1
2015,1,30,5348,1
2015,1,30,5390,14
2015,1,30,5432,5
2015,1,30,5436,1
2015,1,30,5438,1
2015,1,30,5442,1
2015,1,30,5444,4
2015,1,30,5448,9
2015,1,30,5472,2
2015,1,30,5474,10
2015,1,30,5482,2
2015,1,30,5492,3
2015,1,30,5502,6
2015,1,30,5607,2
2015,1,30,5609,2
2015,1,30,5611,4
2015,1,30,5700,5
2015,1,30,5704,2
2015,1,30,5706,1
2015,1,30,5716,1
2015,1,30,5750,1
2015,1,30,5754,1
2015,1,30,5756,1
2015,1,31,5100,747
2015,1,31,5104,7
2015,1,31,5106,5
2015,1,31,5110,16
2015,1,31,5120,14
2015,1,31,5126,1
2015,1,31,5130,10
2015,1,31,5134,5
2015,1,31,5140,5
2015,1,31,5142,3
2015,1,31,5150,17
2015,1,31,5154,12
2015,1,31,5156,2
2015,1,31,5158,6
2015,1,31,5160,2
2015,1,31,5164,15
2015,1,31,5170,20
2015,1,31,5172,2
2015,1,31,5174,1
2015,1,31,5180,11
2015,1,31,5182,1
2015,1,31,5244,1
2015,1,31,5262,1
2015,1,31,5269,1
2015,1,31,5289,1
2015,1,31,5294,1
2015,1,31,5302,1
2015,1,31,5306,4
2015,1,31,5314,3
2015,1,31,5318,1
2015,1,31,5354,1
2015,1,31,5390,16
2015,1,31,5410,2
2015,1,31,5432,14
2015,1,31,5436,1
2015,1,31,5438,8
2015,1,31,5444,2
2015,1,31,5448,9
2015,1,31,5464,1
2015,1,31,5474,6
2015,1,31,5478,1
2015,1,31,5482,1
2015,1,31,5488,1
2015,1,31,5492,4
2015,1,31,5496,1
2015,1,31,5502,11
2015,1,31,5607,1
2015,1,31,5609,2
2015,1,31,5611,3
2015,1,31,5700,8
2015,1,31,5704,2
2015,1,31,5714,1
2015,1,31,5750,1
2015,1,31,5752,2
2015,1,31,5757,1
2015,1,31,5778,2
2015,1,32,5100,712
2015,1,32,5104,6
2015,1,32,5106,5
2015,1,32,5110,4
2015,1,32,5120,13
2015,1,32,5126,3
2015,1,32,5128,3
2015,1,32,5130,14
2015,1,32,5134,4
2015,1,32,5140,4
2015,1,32,5142,3
2015,1,32,5150,14
2015,1,32,5154,8
2015,1,32,5156,2
2015,1,32,5158,4
2015,1,32,5160,2
2015,1,32,5164,4
2015,1,32,5170,14
2015,1,32,5174,1
2015,1,32,5180,12
2015,1,32,5234,1
2015,1,32,5244,3
2015,1,32,5269,2
2015,1,32,5272,1
2015,1,32,5278,1
2015,1,32,5306,3
2015,1,32,5314,3
2015,1,32,5316,2
2015,1,32,5318,1
2015,1,32,5354,2
2015,1,32,5366,1
2015,1,32,5390,14
2015,1,32,5432,6
2015,1,32,5434,1
2015,1,32,5438,3
2015,1,32,5442,3
2015,1,32,5444,1
2015,1,32,5448,8
2015,1,32,5458,1
2015,1,32,5472,1
2015,1,32,5474,2
2015,1,32,5478,1
2015,1,32,5482,1
2015,1,32,5484,2
2015,1,32,5492,2
2015,1,32,5502,4
2015,1,32,5514,1
2015,1,32,5607,2
2015,1,32,5611,2
2015,1,32,5700,3
2015,1,32,5704,1
2015,1,32,5716,1
2015,1,32,5724,1
2015,1,32,5750,2
2015,1,32,5752,1
2015,1,32,5756,1
2015,1,32,5757,1
2015,1,32,5776,2
2015,1,32,5778,1
2015,1,33,5100,640
2015,1,33,5103,1
2015,1,33,5104,8
2015,1,33,5106,2
2015,1,33,5110,6
2015,1,33,5120,29
2015,1,33,5128,1
2015,1,33,5130,10
2015,1,33,5134,3
2015,1,33,5140,2
2015,1,33,5142,2
2015,1,33,5150,15
2015,1,33,5154,4
2015,1,33,5156,2
2015,1,33,5158,5
2015,1,33,5164,8
2015,1,33,5170,20
2015,1,33,5172,5
2015,1,33,5174,1
2015,1,33,5180,23
2015,1,33,5244,2
2015,1,33,5262,1
2015,1,33,5272,1
2015,1,33,5306,3
2015,1,33,5314,4
2015,1,33,5316,1
2015,1,33,5328,1
2015,1,33,5366,3
2015,1,33,5390,17
2015,1,33,5392,1
2015,1,33,5410,1
2015,1,33,5416,1
2015,1,33,5432,2
2015,1,33,5438,1
2015,1,33,5444,2
2015,1,33,5448,5
2015,1,33,5464,1
2015,1,33,5474,5
2015,1,33,5486,1
2015,1,33,5502,7
2015,1,33,5609,2
2015,1,33,5611,2
2015,1,33,5700,2
2015,1,33,5704,4
2015,1,33,5706,1
2015,1,33,5750,1
2015,1,33,5752,1
2015,1,33,5776,1
2015,1,34,5100,704
2015,1,34,5104,8
2015,1,34,5106,2
2015,1,34,5110,16
2015,1,34,5120,18
2015,1,34,5122,2
2015,1,34,5126,2
2015,1,34,5128,3
2015,1,34,5130,6
2015,1,34,5134,5
2015,1,34,5140,4
2015,1,34,5142,6
2015,1,34,5150,11
2015,1,34,5154,4
2015,1,34,5156,3
2015,1,34,5158,3
2015,1,34,5164,10
2015,1,34,5170,18
2015,1,34,5172,5
2015,1,34,5174,2
2015,1,34,5180,17
2015,1,34,5182,1
2015,1,34,5240,1
2015,1,34,5244,2
2015,1,34,5246,1
2015,1,34,5262,1
2015,1,34,5272,1
2015,1,34,5279,1
2015,1,34,5288,1
2015,1,34,5302,2
2015,1,34,5306,1
2015,1,34,5314,3
2015,1,34,5316,1
2015,1,34,5354,1
2015,1,34,5356,1
2015,1,34,5390,11
2015,1,34,5422,1
2015,1,34,5432,7
2015,1,34,5444,2
2015,1,34,5448,10
2015,1,34,5458,2
2015,1,34,5462,1
2015,1,34,5474,3
2015,1,34,5488,1
2015,1,34,5492,4
2015,1,34,5502,8
2015,1,34,5607,2
2015,1,34,5609,1
2015,1,34,5611,1
2015,1,34,5700,4
2015,1,34,5704,3
2015,1,34,5712,1
2015,1,34,5714,2
2015,1,34,5716,1
2015,1,34,5754,2
2015,1,34,5756,1
2015,1,35,5100,642
2015,1,35,5104,9
2015,1,35,5106,4
2015,1,35,5110,7
2015,1,35,5120,18
2015,1,35,5126,3
2015,1,35,5130,9
2015,1,35,5134,3
2015,1,35,5140,6
2015,1,35,5142,3
2015,1,35,5150,18
2015,1,35,5154,4
2015,1,35,5156,4
2015,1,35,5158,4
2015,1,35,5164,13
2015,1,35,5170,21
2015,1,35,5172,2
2015,1,35,5174,2
2015,1,35,5180,13
2015,1,35,5182,1
2015,1,35,5244,1
2015,1,35,5262,2
2015,1,35,5272,1
2015,1,35,5289,1
2015,1,35,5304,1
2015,1,35,5306,3
2015,1,35,5314,3
2015,1,35,5318,1
2015,1,35,5338,1
2015,1,35,5354,2
2015,1,35,5390,13
2015,1,35,5392,1
2015,1,35,5410,1
2015,1,35,5432,8
2015,1,35,5438,2
2015,1,35,5444,2
2015,1,35,5448,5
2015,1,35,5456,1
2015,1,35,5474,2
2015,1,35,5488,1
2015,1,35,5492,5
2015,1,35,5502,5
2015,1,35,5607,2
2015,1,35,5611,3
2015,1,35,5700,2
2015,1,35,5704,1
2015,1,35,5724,1
2015,1,35,5778,1
2015,1,36,5100,665
2015,1,36,5104,5
2015,1,36,5106,2
2015,1,36,5110,6
2015,1,36,5120,18
2015,1,36,5128,1
2015,1,36,5130,9
2015,1,36,5134,3
2015,1,36,5140,6
2015,1,36,5142,1
2015,1,36,5150,9
2015,1,36,5154,8
2015,1,36,5156,2
2015,1,36,5158,6
2015,1,36,5164,9
2015,1,36,5170,19
2015,1,36,5172,2
2015,1,36,5174,2
2015,1,36,5180,13
2015,1,36,5182,3
2015,1,36,5228,1
2015,1,36,5262,1
2015,1,36,5272,2
2015,1,36,5288,1
2015,1,36,5289,1
2015,1,36,5306,2
2015,1,36,5316,1
2015,1,36,5318,4
2015,1,36,5328,2
2015,1,36,5338,1
2015,1,36,5366,1
2015,1,36,5390,6
2015,1,36,5432,9
2015,1,36,5434,1
2015,1,36,5438,3
2015,1,36,5444,2
2015,1,36,5448,7
2015,1,36,5464,1
2015,1,36,5472,1
2015,1,36,5474,1
2015,1,36,5492,5
2015,1,36,5502,2
2015,1,36,5514,2
2015,1,36,5607,1
2015,1,36,5700,3
2015,1,36,5704,1
2015,1,36,5708,1
2015,1,36,5757,2
2015,1,36,5776,1
